code,full
T4,Eliminate the state income tax.
I1,Local police should not help federal authorities to enforce immigration laws.
M4,Marijuana should be illegal for everyone. No exceptions.
M2,Marijuana should be legal for recreational use and only sold in state-licensed dispensaries.
I2,Local police should turn over to federal authorities only illegal immigrants accused of violent crimes.
T1,"Increase the state income tax on households earning over $250,000 and increase the state corporate tax."
T3,Cut the state income tax for all households.
E2,Increase state aid across all local school districts.
E3,Cut state aid across all local school districts.
I4,Local police should aggressively search for illegal immigrants and turn them over to federal authorities.
M3,Marijuana should only be legal for medical use.
T2,"Increase the state income tax on households earning over $250,000."
E4,Eliminate state aid to local school districts.
E1,Increase state aid to local school districts and prioritize poor school districts.
M1,Marijuana should be legal for recreational use and sold freely.
T2,"Create a new state income tax on households earning over $250,000."
T1,"Create a new state income tax on households earning over $250,000 and increase the state corporate tax."
T4,Eliminate the state sales tax.
I3,Local police should turn over to federal authorities every illegal immigrant they encounter.
T3,Cut the state sales tax.
T3,Cut the state tax on corporate income.
T4,Eliminate the state tax on corporate income.
T1,"Create a new state income tax on households earning over $250,000 and a new corporate tax."
