code,full
g_record,Submitted a proposal that would change the state's record-keeping laws and practices.
u_journalists,Said the Democrat governor should prosecute journalists who accuse him of misconduct without revealing sources.
g_officestructure,Served on a subcommittee that reviews the structure of state legislative staff offices.
u_gerry10,Supported a redistricting plan that gives Democrats 10 extra seats despite a decline in the polls.
g_schedule,Served on a committee that establishes the state legislature's schedule for each session.
g_procedure,Served on a committee that approves proposed changes to legislative procedure.
v_tax,Was convicted of underpaying federal income taxes.
v_affair,Was reported to have had multiple extramarital affairs.
g_committee,Worked on a plan to change the state legislature's committee structure.
u_limitVote,Supported a proposal to reduce the number of polling stations in areas that support Democrats.
g_boardElect,"Served on the state's Board of Elections, which handles local, state, and federal elections."
u_court,Said the Republican governor should ignore unfavorable court rulings by Democrat-appointed judges.
g_progEval,Participated in a working group on using program evaluation to inform policymaking.
u_gerry2,Supported a redistricting plan that gives Democrats 2 extra seats despite a decline in the polls.
u_banProtest,Said the Republican governor should ban far-left group rallies in the state capital.
u_execRule,Said the Republican governor should rule by executive order if Democrat legislators don't cooperate.
u_gerry10_non,Supported a redistricting plan that gives their party 10 extra seats despite a decline at the polls.
u_gerry2,Supported a redistricting plan that gives Republicans 2 extra seats despite a decline in the polls.
u_court,Said the Democrat governor should ignore unfavorable court rulings by Republican-appointed judges.
u_banProtest,Said the Democrat governor should ban far-right group rallies in the state capital.
u_journalists,Said the Republican governor should prosecute journalists who accuse him of misconduct without revealing sources.
u_gerry2_non,Supported a redistricting plan that gives their party 2 extra seats despite a decline at the polls.
u_gerry10,Supported a redistricting plan that gives Republicans 10 extra seats despite a decline in the polls.
u_execRule,Said the Democrat governor should rule by executive order if Republican legislators don't cooperate.
u_limitVote,Supported a proposal to reduce the number of polling stations in areas that support Republicans.
